"ID","Region","LocationName","Latitude","Longitude","1959.1960","1974","1977","1978","1981","1986","1999","2009.2010"
"GI-220","Gulf Islands","Canoe Islet",49.0281,-123.5886,NA,67,57,50,62,56,NA,NA
"GI-230","Gulf Islands","Galiano Island - North Cliffs",48.9725,-123.5631,NA,NA,2,1,NA,6,NA,NA
"GI-240","Gulf Islands","Preedy Rock",48.9675,-123.6756,NA,NA,NA,2,NA,NA,NA,NA
"GI-250","Gulf Islands","Augustus Point",48.945,-123.6528,NA,10,6,3,6,8,NA,NA
"GI-260","Gulf Islands","Wallace Island",48.9386,-123.55,NA,3,12,10,7,3,NA,NA
"GI-270","Gulf Islands","Tent Island",48.925,-123.6303,NA,3,16,7,15,12,NA,NA
"GI-280","Gulf Islands","Bare Point",48.9278,-123.7064,NA,11,8,4,16,5,NA,NA
"GI-280","Gulf Islands","Bare Point",48.9278,-123.7064,NA,NA,NA,NA,NA,NA,NA,3
"GI-290","Gulf Islands","Shoal Islands",48.9,-123.6667,NA,1,NA,1,NA,NA,NA,NA
"GI-290","Gulf Islands","Shoal Islands",48.9,-123.6667,NA,NA,NA,NA,NA,NA,NA,NA
"GI-300","Gulf Islands","Cowichan Lake",48.8667,-124.2333,NA,NA,NA,NA,NA,NA,NA,NA
"GI-310","Gulf Islands","Vesuvius Bay",48.8811,-123.5733,NA,NA,NA,NA,NA,4,NA,NA
"GI-320","Gulf Islands","Ballingall Islets",48.9072,-123.4594,57,96,118,106,63,145,NA,22
"GI-330","Gulf Islands","Galiano Island - Central Cliffs",48.9119,-123.4314,NA,NA,1,1,NA,NA,NA,NA
"GI-340","Gulf Islands","Wise Rock",48.8978,-123.4389,NA,NA,1,0,NA,NA,NA,NA
"GI-370","Gulf Islands","Galiano Island - South Cliffs",48.8694,-123.3897,NA,NA,1,0,NA,NA,NA,NA
"GI-380","Gulf Islands","Lion Islets",48.9003,-123.335,NA,NA,2,2,NA,1,NA,NA
"GI-390","Gulf Islands","“Gossip” Rock",48.8925,-123.3292,NA,NA,0,0,NA,11,NA,NA
"GI-410","Gulf Islands","“Long Harbour” Islet",48.8453,-123.4264,NA,3,1,1,NA,NA,NA,NA
"GI-420","Gulf Islands","Chain Islands",48.8375,-123.4539,NA,NA,4,16,NA,5,NA,NA
"GI-424","Gulf Islands","Hawkins Island",48.8403,-123.3717,NA,NA,0,0,NA,NA,NA,NA
"GI-440","Gulf Islands","Red Islets",48.8161,-123.3561,NA,NA,1,1,NA,NA,NA,NA
"GI-450","Gulf Islands","Prevost Island - South Cliffs",48.8128,-123.375,NA,NA,2,3,NA,NA,NA,NA
"GI-460","Gulf Islands","Channel Islands",48.7994,-123.3842,NA,NA,1,1,NA,NA,NA,NA
"GI-470","Gulf Islands","Belle Chain Islets",48.8244,-123.1842,NA,6,29,50,78,56,NA,18
"GI-490","Gulf Islands","Pine Islet",48.8003,-123.0953,NA,NA,4,1,NA,NA,NA,NA
"GI-510","Gulf Islands","East Point - Cliffs",48.7817,-123.0469,NA,0,7,6,3,7,NA,NA
"GI-520","Gulf Islands","Lyall Harbour - Cliffs",48.8017,-123.1892,NA,NA,0,NA,NA,1,NA,NA
"GI-540","Gulf Islands","Croker Rock",48.7731,-123.1961,NA,NA,0,0,NA,NA,NA,NA
"GI-550","Gulf Islands","Java Islets",48.7597,-123.1097,372,372,374,499,384,298,NA,25
"GI-560","Gulf Islands","Blunden Islet",48.7442,-123.1681,NA,NA,0,0,NA,NA,NA,NA
"GI-590","Gulf Islands","Jackson Rock",48.7539,-123.4283,NA,NA,0,1,NA,NA,NA,NA
"GI-595","Gulf Islands","Fulford Harbour",48.7622,-123.438,NA,NA,NA,NA,NA,NA,NA,NA
"GI-620","Gulf Islands","Tortoise Islets",48.7161,-123.3686,NA,NA,1,1,NA,NA,NA,NA
"GI-630","Gulf Islands","Arbutus Island",48.7061,-123.4353,NA,NA,NA,69,89,150,55,68
"GI-640","Gulf Islands","Hatch Point - Wharf",48.6969,-123.5406,NA,NA,NA,NA,2,NA,NA,NA
"GI-656","Gulf Islands","Swartz Bay - Ferry Terminal",48.6892,-123.4114,NA,NA,NA,NA,NA,NA,NA,NA
"GI-660","Gulf Islands","Swartz Head Rocks",48.6864,-123.4,270,NA,NA,1,NA,NA,NA,NA
"GI-670","Gulf Islands","Imrie Island",48.6944,-123.3331,NA,298,315,355,279,216,41,NA
"GI-680","Gulf Islands","Reay Island",48.6833,-123.3292,NA,5,6,1,NA,NA,0,0
"GI-690","Gulf Islands","Greig Island",48.6781,-123.3392,NA,40,NA,44,53,52,14,17
"GI-710","Gulf Islands","Little Group",48.6717,-123.3575,NA,NA,35,2,NA,6,1,0
"GI-720","Gulf Islands","Rubly Island",48.6653,-123.3125,NA,NA,NA,0,NA,NA,NA,NA
"GI-740","Gulf Islands","Sidney",48.6433,-123.3969,NA,NA,NA,NA,2,4,NA,NA
"GI-750","Gulf Islands","Mandarte Island",48.6333,-123.2867,1900,1047,1666,544,1386,2363,NA,2432
"GI-770","Gulf Islands","Sallas Rocks",48.5847,-123.2903,NA,NA,NA,NA,NA,29,NA,9
"GI-800","Gulf Islands","Ten Mile Point",48.4553,-123.2653,1,NA,NA,NA,NA,NA,NA,NA
"GI-820","Gulf Islands","Jemmy Jones Island",48.4444,-123.2728,NA,NA,NA,1,NA,NA,NA,NA
"GI-850","Gulf Islands","Mary Tod Island",48.4275,-123.2986,NA,NA,NA,NA,NA,1,NA,2
"GI-880","Gulf Islands","Harris Island",48.4231,-123.2897,NA,NA,28,47,19,22,NA,NA
"GI-890","Gulf Islands","Chain Islets/Great Chain Island",48.4206,-123.2753,850,1764,1838,1956,1880,2432,NA,2066
"GI-900","Gulf Islands","Trial Islands",48.3972,-123.3056,50,0,NA,2,NA,NA,NA,100
"GI-905","Gulf Islands","Ogden Point - Port",48.415,-123.3897,NA,NA,NA,NA,NA,NA,NA,NA
"GI-910","Gulf Islands","Harrison Island",48.4178,-123.4022,NA,NA,NA,NA,NA,NA,NA,NA
"GI-930","Gulf Islands","Victoria",48.425,-123.3694,NA,NA,NA,NA,NA,110,NA,NA
"GI-940","Gulf Islands","Brothers Islands",48.4253,-123.4342,NA,NA,NA,NA,143,NA,NA,NA
"SG-014","Northern Strait of Georgia","Hoskyn Rock",50.1389,-125.1592,NA,NA,NA,NA,NA,NA,NA,NA
"SG-017","Northern Strait of Georgia","Centre Islet",50.125,-125.0911,NA,NA,NA,NA,NA,NA,NA,NA
"SG-020","Northern Strait of Georgia","Copper Cliffs",50.0994,-125.2711,NA,NA,NA,0,NA,NA,NA,NA
"SG-030","Northern Strait of Georgia","Guide Islets",50.0808,-125.0178,NA,1,1,2,1,NA,NA,NA
"SG-050","Northern Strait of Georgia","Little Rock",50.0361,-124.9575,NA,1,0,0,1,1,NA,NA
"SG-055","Northern Strait of Georgia","Ray Rock",50.1108,-124.7228,NA,NA,NA,NA,NA,NA,NA,10
"SG-060","Northern Strait of Georgia","Powell Islets",50.0417,-124.8531,NA,0,0,1,0,NA,NA,NA
"SG-070","Northern Strait of Georgia","Major Islet",49.9894,-124.8161,NA,3,0,1,1,NA,NA,NA
"SG-080","Northern Strait of Georgia","Keefer Rock",49.9681,-124.8772,NA,NA,20,14,28,28,NA,NA
"SG-090","Northern Strait of Georgia","Mitlenatch Island",49.95,-125.0042,900,1632,987,2558,1922,2100,NA,2493
"SG-100","Northern Strait of Georgia","Powell River",49.8667,-124.5528,NA,NA,NA,NA,NA,6,NA,NA
"SG-110","Northern Strait of Georgia","Vivian Island",49.8406,-124.7014,NA,218,NA,240,229,208,NA,NA
"SG-130","Northern Strait of Georgia","McRae Islet",49.7436,-124.2925,NA,NA,NA,150,164,262,NA,NA
"SG-135","Northern Strait of Georgia","Deserted Bay - Dock",50.0868,-123.7439,NA,NA,NA,NA,NA,NA,NA,NA
"SG-140","Northern Strait of Georgia","Blind Islets",49.7147,-124.2175,NA,NA,NA,0,0,2,NA,NA
"SG-145","Northern Strait of Georgia","“Cockburn” Islets",49.6681,-124.1847,NA,NA,NA,0,0,NA,NA,NA
"SG-148","Northern Strait of Georgia","“Trafalgar” Rock",49.6514,-124.1164,NA,NA,NA,NA,0,1,NA,NA
"SG-150","Northern Strait of Georgia","Fearney Point",49.6481,-124.0894,NA,NA,NA,0,0,1,NA,NA
"SG-180","Northern Strait of Georgia","Mouat Islands",49.6331,-124.4625,NA,NA,NA,0,16,35,NA,NA
"SG-190","Northern Strait of Georgia","Davie Islet",49.6003,-124.3964,NA,NA,NA,NA,0,3,NA,NA
"SG-200","Northern Strait of Georgia","Denman Island - West Dock",49.5347,-124.8236,NA,NA,NA,NA,NA,1,NA,NA
"SG-210","Northern Strait of Georgia","Denman Island - East Dock",49.4939,-124.7089,NA,NA,NA,NA,NA,1,NA,1
"SG-212","Northern Strait of Georgia","Hornby Island - West Dock",49.5117,-124.7044,NA,NA,NA,NA,NA,NA,NA,NA
"SG-220","Northern Strait of Georgia","St. John Point",49.5167,-124.5861,NA,5,2,NA,5,6,NA,NA
"SG-230","Northern Strait of Georgia","Norris Rocks",49.4836,-124.6475,NA,85,104,58,111,287,NA,185
"SG-240","Northern Strait of Georgia","Chrome Island",49.4719,-124.6844,NA,1,NA,1,3,3,NA,1
"SG-250","Northern Strait of Georgia","Sisters Islets",49.4867,-124.435,NA,108,NA,85,151,25,NA,NA
"SG-260","Northern Strait of Georgia","Finnerty Islands",49.4989,-124.3953,NA,10,NA,0,6,4,NA,NA
"SG-270","Northern Strait of Georgia","Fegen Islets",49.53,-124.3806,NA,2,NA,0,1,1,NA,NA
"SG-278","Northern Strait of Georgia","“Sabine” Islets",49.5128,-124.2594,NA,NA,NA,NA,0,1,NA,NA
"SG-290","Northern Strait of Georgia","Upwood Islet",49.4886,-124.1342,NA,NA,NA,NA,3,NA,NA,NA
"SG-300","Northern Strait of Georgia","Sheer Island",49.4869,-124.1714,NA,NA,NA,NA,7,50,NA,NA
"SG-302","Northern Strait of Georgia","Rabbit Island",49.4786,-124.175,NA,NA,NA,NA,0,22,NA,NA
"SG-305","Northern Strait of Georgia","“Windy” Rock",49.4658,-124.1725,NA,NA,NA,NA,0,1,NA,NA
"SG-310","Northern Strait of Georgia","Sea Egg Rocks",49.4522,-124.3111,NA,NA,NA,0,0,5,NA,NA
"SG-330","Northern Strait of Georgia","Priestland Rocks",49.5078,-123.9128,NA,NA,NA,NA,1,NA,NA,NA
"SG-340","Northern Strait of Georgia","Jeddah Rocks",49.5019,-123.9467,NA,NA,NA,NA,2,NA,NA,NA
"SG-360","Northern Strait of Georgia","Franklin Island",49.4667,-123.9192,500,387,287,478,443,216,NA,47
"SG-370","Northern Strait of Georgia","Merry Island",49.4692,-123.9189,100,252,310,362,158,6,NA,3
"SG-380","Northern Strait of Georgia","Porpoise Bay",49.4836,-123.7617,NA,NA,NA,1,1,NA,NA,NA
"SG-390","Northern Strait of Georgia","Trail Islands",49.4544,-123.815,NA,3,NA,4,5,NA,NA,NA
"SG-400","Northern Strait of Georgia","White Islets",49.4181,-123.7119,NA,279,NA,458,314,490,NA,328
"SG-430","Northern Strait of Georgia","Christie Islet",49.4994,-123.3017,299,477,NA,722,558,454,246,255
"SG-440","Northern Strait of Georgia","Pam Rock",49.4878,-123.2994,NA,121,NA,151,131,109,25,11
"SG-444","Northern Strait of Georgia","Squamish Harbour",49.6822,-123.1742,NA,NA,NA,NA,NA,NA,NA,1
"SG-450","Northern Strait of Georgia","Bowyer Island",49.4264,-123.2689,NA,0,NA,11,12,NA,NA,NA
"SG-460","Northern Strait of Georgia","Sunset Beach Cliffs",49.4,-123.2506,NA,NA,NA,NA,NA,NA,NA,NA
"SG-470","Northern Strait of Georgia","Bay Rock",49.3803,-123.2733,NA,NA,NA,NA,NA,NA,NA,NA
"SG-490","Northern Strait of Georgia","Whyte Islet",49.37,-123.2919,NA,NA,NA,6,22,0,0,0
"SG-500","Northern Strait of Georgia","Bird Islet",49.3633,-123.2911,NA,3,NA,NA,NA,38,35,45
"SG-505","Northern Strait of Georgia","Kettle Point",49.3622,-123.2867,NA,NA,NA,NA,2,NA,NA,NA
"SG-520","Northern Strait of Georgia","Eagle Rocks",49.3544,-123.2789,NA,2,NA,NA,17,10,1,NA
"SG-530","Northern Strait of Georgia","Passage Island",49.3431,-123.3056,50,496,NA,798,709,384,NA,25
"SG-540","Northern Strait of Georgia","Grebe Islets",49.3408,-123.2756,NA,7,NA,12,22,108,257,58
"SG-550","Northern Strait of Georgia","Point Atkinson",49.3297,-123.265,NA,NA,NA,NA,NA,NA,NA,NA
"SG-555","Northern Strait of Georgia","Capilano Lake",49.3639,-123.1097,NA,1,NA,NA,NA,NA,NA,NA
"SG-560","Northern Strait of Georgia","Wigwam Inn",49.4619,-122.8858,NA,NA,NA,NA,NA,NA,NA,NA
"SG-568","Northern Strait of Georgia","Port Moody",49.2978,-122.8911,NA,NA,NA,NA,NA,NA,NA,NA
"SG-570","Northern Strait of Georgia","Barnet",49.2922,-122.9367,NA,NA,2,NA,NA,NA,NA,NA
"SG-580","Northern Strait of Georgia","Second Narrows",49.295,-123.0261,NA,NA,NA,4,NA,40,NA,NA
"SG-590","Northern Strait of Georgia","North Vancouver",49.3083,-123.0786,NA,72,25,28,21,158,NA,NA
"SG-595","Northern Strait of Georgia","West Vancouver",49.3294,-123.1694,NA,NA,NA,NA,NA,NA,NA,NA
"SG-600","Northern Strait of Georgia","Vancouver Harbour",49.2861,-123.0992,NA,NA,NA,NA,NA,112,NA,NA
"SG-610","Northern Strait of Georgia","Lions Gate Bridge",49.3153,-123.1386,NA,1,NA,NA,4,12,NA,2
"SG-620","Northern Strait of Georgia","Prospect Point",49.3136,-123.1419,2,5,4,1,9,4,NA,0
"SG-630","Northern Strait of Georgia","Siwash Rock",49.3089,-123.1567,NA,6,4,NA,5,8,NA,0
"SG-640","Northern Strait of Georgia","Burrard Bridge",49.2753,-123.1375,NA,NA,NA,NA,NA,9,NA,1
"SG-650","Northern Strait of Georgia","Granville Bridge",49.2719,-123.1339,NA,NA,NA,NA,NA,10,NA,NA
"SG-660","Northern Strait of Georgia","False Creek",49.2717,-123.1083,NA,NA,NA,NA,NA,172,NA,NA
"SG-661","Northern Strait of Georgia","Point Grey",49.265,-123.2528,NA,NA,NA,NA,NA,NA,NA,NA
"SG-664","Northern Strait of Georgia","Oak Street Bridge",49.2,-123.1258,NA,NA,NA,NA,NA,NA,NA,NA
"SG-665","Northern Strait of Georgia","Mitchell Island",49.2025,-123.0897,NA,NA,NA,NA,NA,NA,NA,NA
"SG-666","Northern Strait of Georgia","Knight Street Bridge",49.2031,-123.0775,NA,NA,NA,NA,NA,NA,NA,NA
"SG-667","Northern Strait of Georgia","South Vancouver",49.2026,-123.1278,NA,NA,NA,NA,NA,NA,NA,NA
"SG-670","Northern Strait of Georgia","Queens Reach to North Arm",49.2217,-122.8367,NA,NA,NA,NA,NA,NA,NA,NA
"SG-672","Northern Strait of Georgia","Pattullo Bridges",49.2075,-122.8944,NA,NA,NA,NA,NA,NA,NA,NA
"SG-674","Northern Strait of Georgia","Annacis Island",49.1706,-122.9444,NA,NA,NA,NA,NA,NA,NA,NA
"SG-675","Northern Strait of Georgia","Lulu Island - North",49.2,-123.0767,NA,NA,NA,NA,NA,NA,NA,NA
"SG-677","Northern Strait of Georgia","Sea Island",49.1969,-123.1739,NA,NA,NA,NA,NA,NA,NA,NA
"SG-679","Northern Strait of Georgia","Lulu Island - South",49.125,-123.1869,NA,NA,NA,NA,NA,NA,NA,NA
"SG-680","Northern Strait of Georgia","Westham Island",49.0983,-123.1786,NA,NA,NA,NA,NA,NA,NA,NA
"SG-700","Northern Strait of Georgia","Roberts Bank - Superport",49.0194,-123.1619,NA,NA,NA,NA,0,NA,NA,NA
"SG-710","Northern Strait of Georgia","Tsawwassen - Ferry Terminal",49.0158,-123.1167,NA,9,3,4,7,NA,NA,4
"SG-720","Northern Strait of Georgia","Tsawwassen - Breakwater",49.0033,-123.1256,NA,115,160,150,223,238,NA,250
"SG-730","Northern Strait of Georgia","White Rock",49.0231,-122.7978,NA,NA,NA,NA,NA,NA,NA,1
