"LocationName","ID","Latitude","Longitude","Year","Source","Covered","NationalPark","ProvincialPark","EcolReserve","Selected","eBird.","NEW.selected","Changed","Drone..1.need.to.do...2.Should.do..","Google.Earth","Drone.from.Land","Notes"
"Mandarte Island","GI-750",48.6333,-123.2867,1915,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Mandarte South Islet",NA,48.6314,-123.2808,1962,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Mary Tod Island","GI-850",48.4275,-123.2986,1986,"KBB2020","","","","",1,NA,2,"Louise only ",NA,2,NA,"I’ll probably cover this on Trial Island day"
"Maude Island","GI-040",49.2706,-124.0819,1986,"KBB2020","","","","",0,1,1,"Added",NA,1,NA,"Should be included as surveyed in 2010. eBird checklist from 1995 documenting 74 nests. https://ebird.org/checklist/S18522740"
"McRae Islet","SG-130",49.7436,-124.2925,1969,"KBB2020","","","","",1,NA,1,"0",2,1,1,""
"Merry Island","SG-370",49.4692,-123.9189,1950,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Miami Islet","GI-190",49.0372,-123.7094,1968,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Mitlenatch Island","SG-090",49.95,-125.0042,1922,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Mouat Islands","SG-180",49.6331,-124.4625,1986,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Nanoose Bay Island",NA,49.2629,-124.1805,1961,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,"See survey map - no island in evidence at this location. I seem to remember we couldn’t locate it. Is it instead the grey dot island on the outside of the bay??"
"Norris Rocks","SG-230",49.4836,-124.6475,1960,"KBB2020","","","ProvincialPark","",1,NA,1,"0",NA,1,NA,""
"North Vancouver","SG-590",49.3083,-123.0786,1986,"KBB2020","","","","",0,NA,0,"0",NA,0,NA,"This should be covered by the urban surveys"
"Pam Rock","SG-440",49.4878,-123.2994,1956,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Passage Island","SG-530",49.3431,-123.3056,1958,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Pine Islet","GI-490",48.8003,-123.0953,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Point Atkinson","SG-550",49.3297,-123.265,1968,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Porpoise Bay","SG-380",49.4836,-123.7617,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Powell Islets","SG-060",50.0417,-124.8531,1974,"SCoBC2023","","","","",0,1,1,"Added",NA,1,NA,"There are several recent checklists documenting a medium-sized colony at this site. Most recent breeding season count is 300 https://ebird.org/canada/checklist/S146032308 although other breeding season counts are lower https://ebird.org/checklist/S92324895"
"Powell River","SG-100",49.8667,-124.5528,1986,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"I believe this locality is the old ships serving as the breakwater. No information about nesting provided in checklists. "
"Preedy Rock","GI-240",48.9675,-123.6756,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Prevost Island - South Cliffs","GI-450",48.8128,-123.375,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Priestland Rocks","SG-330",49.5078,-123.9128,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Prospect Point","SG-620",49.3136,-123.1419,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,"There are two sets of records here for Prospect Point, same lat and long, overlapping set of years, but different counts for the years."
"Rabbit Island","SG-302",49.4786,-124.175,1981,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"Ragged Islets","GI-200",49.0264,-123.6961,1923,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Ray Rock","SG-055",50.1108,-124.7228,2010,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"Reay Island","GI-680",48.6833,-123.3292,1974,"KBB2020","","NationalPark","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Red Islets","GI-440",48.8161,-123.3561,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Roberts Bank - Superport","SG-700",49.0194,-123.1619,1981,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"Too generic a location to search for a specific eBird list"
"Rose Islets","GI-210",49.0081,-123.6439,1963,"KBB2020","","","","EcolReserve",1,NA,1,"0",1,4,NA,""
"Round Island","GI-130",49.1147,-123.7956,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Rubly Island","GI-720",48.6653,-123.3125,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Ruxton Island","GI-170",49.0758,-123.7064,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"One Oct photo of adult with young of year, but at this time of year doesn’t mean it bred there. Exclude"
"Sallas Rocks","GI-770",48.5847,-123.2903,1986,"KBB2020","","NationalPark","","",1,NA,1,"0",1,4,NA,""
"Sea Egg Rocks","SG-310",49.4522,-124.3111,1978,"SCoBC2023","","","","",0,1,1,"Added",NA,1,NA,"Nests with young, 17 june 2021, 112 birds. https://ebird.org/checklist/S92400395"
"Second Narrows","SG-580",49.295,-123.0261,1984,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,"This should be covered by the urban surveys"
"Sheer Island","SG-300",49.4869,-124.1714,1981,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"Shoal Islands","GI-290",48.9,-123.6667,1974,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Sidney","GI-740",48.6433,-123.3969,1981,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"Too generic a location to search for a specific eBird list, but Sidney has been covered by earlier drone surveys"
"Sisters Islets","SG-250",49.4867,-124.435,1940,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Siwash Rock","SG-630",49.3089,-123.1567,1958,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Snake Island","GI-070",49.2156,-123.8906,1958,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Squamish Harbour","SG-444",49.6822,-123.1742,2010,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"St. John Point","SG-220",49.5167,-124.5861,1968,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Sunset Beach Cliffs","SG-460",49.4,-123.2506,1956,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Swartz Head Rocks","GI-660",48.6864,-123.4,1960,"SCoBC2023","","","","",1,NA,2,"0",2,1,1,""
"Ten Mile Point","GI-800",48.4553,-123.2653,1960,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"Many checklists, but this site is part of Victoria so an urban location "
"Tent Island","GI-270",48.925,-123.6303,1972,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Three Islets","SG-040",50.0539,-124.9131,1974,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Toby Island","unk",49.4877,-124.6596,9999,"9999","","","","",NA,NA,1,"Added",NA,1,NA,""
"Tortoise Islets","GI-620",48.7161,-123.3686,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Trail Islands","SG-390",49.4544,-123.815,1974,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Tree Island","GI-180",49.0608,-123.6978,1977,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"Trial Islands","GI-900",48.3972,-123.3056,1953,"KBB2020","covered","","","EcolReserve",1,NA,2,"Removed (covered)",NA,2,NA,""
"Tsawwassen - Breakwater","SG-720",49.0033,-123.1256,1974,"KBB2020","","","","",1,NA,1,"0",1,1,1,""
"Tsawwassen - Ferry Terminal","SG-710",49.0158,-123.1167,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Upwood Islet","SG-290",49.4886,-124.1342,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Valdes Island - West Cliffs","GI-160",49.1056,-123.7028,1977,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"Vancouver Harbour","SG-600",49.2861,-123.0992,1986,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Vesuvius Bay","GI-310",48.8811,-123.5733,1986,"SCoBC2023","","","","",0,1,2,"Louise only ",NA,2,NA,"I can do this one; I live just up the road from the site. No eBird checklists indicating breeding. "
"Victoria","GI-930",48.425,-123.3694,1986,"SCoBC2023","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"VictoriaBBS",NA,48.40459,-123.34957,1974,"KBB2020","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Vivian Island","SG-110",49.8406,-124.7014,1966,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Wallace Island","GI-260",48.9386,-123.55,1974,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Westham Island","SG-680",49.0983,-123.1786,1974,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"Too many checklists to check for this locality (Reifel Bird Sanctuary) but unlikely to provide nesting habitat for >1-2 roof-nesting pairs"
"Whaleboat Island","GI-171",49.0739,-123.6925,1977,"KBB2020","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"White Islets","SG-400",49.4181,-123.7119,1968,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"White Rock","SG-730",49.0231,-122.7978,2010,"SCoBC2023","covered","","","",1,NA,0,"Removed (covered)",NA,0,NA,""
"Whyte Islet","SG-490",49.37,-123.2919,1978,"KBB2020","","","","",1,NA,1,"0",NA,1,NA,""
"Wise Rock","GI-340",48.8978,-123.4389,1977,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"Yeo Islands","GI-015",49.3053,-124.135,1978,"SCoBC2023","","","","",0,1,0,"0",NA,0,NA,"No eBird checklists describing nests or young"
"“Cockburn” Islets","SG-145",49.6681,-124.1847,1978,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"“Gossip” Rock","GI-390",48.8925,-123.3292,1977,"SCoBC2023","","","","",1,NA,1,"0",NA,1,NA,""
"“Long Harbour” Islet","GI-410",48.8453,-123.4264,1974,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"“Sabine” Islets","SG-278",49.5128,-124.2594,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"“Steamer” Island","SG-012",50.1584,-125.0949,1986,"KBB2020","","","","",0,0,0,"0",NA,0,NA,""
"“Trafalgar” Rock","SG-148",49.6514,-124.1164,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
"“Windy” Rock","SG-305",49.4658,-124.1725,1981,"SCoBC2023","","","","",0,0,0,"0",NA,0,NA,""
